CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Huntsville city,47453,100333,158216,67.9,AL
Birmingham city,177709,57096,242820,66.3,AL
Montgomery city,99631,94868,201568,66.3,AL
Prichard city,24095,4038,28633,66.2,AL
Gadsden city,13188,24016,38978,64.6,AL
Mobile city,91660,98965,198915,63.3,AL
Bessemer city,20549,8458,29672,63.1,AL
Homewood city,3814,19566,25043,61.8,AL
Phenix City city,12645,14788,28265,61.3,AL
Tuscaloosa city,33164,41667,77906,61.2,AL
Dothan city,17292,38508,57737,59.1,AL
Decatur city,10456,39128,53929,52.9,AL
Florence city,6932,28184,36264,47.6,AL
Hoover city,4230,53616,62742,38.3,AL
Auburn city,7183,33188,42987,36.5,AL
Madison city,3796,23053,29329,29.5,AL
