CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
West Memphis city,15429,11563,27666,70.0,AR
Little Rock city,73679,98904,183133,63.9,AR
Pine Bluff city,36130,17609,55085,57.0,AR
North Little Rock city,20483,37186,60433,55.7,AR
Hot Springs city,5990,27347,35750,50.8,AR
Fort Smith city,6874,59436,80268,50.7,AR
Jonesboro city,6209,46764,55515,48.0,AR
Texarkana city,8163,17191,26448,47.6,AR
Springdale city*,293,33926,45798,36.8,AR
Rogers city*,145,29866,38829,35.8,AR
Fayetteville city,2930,48769,58047,35.6,AR
Conway city,5211,35817,43167,32.1,AR
Jacksonville city,7357,20104,29916,28.0,AR
