CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Phoenix city,63756,736844,1321045,54.4,AZ
Flagstaff city*,866,36760,52894,43.2,AZ
Surprise city*,744,22136,30848,42.9,AZ
Lake Havasu City city*,127,37550,41938,41.0,AZ
Glendale city,9818,141462,218812,39.8,AZ
Yuma city,2220,36784,77515,36.8,AZ
Casa Grande city,1020,12707,25224,35.6,AZ
Tucson city,19795,263748,486699,35.0,AZ
Mesa city,9377,290180,396375,34.0,AZ
Prescott city*,149,29941,33938,33.4,AZ
Tempe city,5546,110517,158625,30.7,AZ
Apache Junction city*,168,27967,31814,29.7,AZ
Scottsdale city,2398,178462,202705,28.8,AZ
Peoria city,2887,84370,108364,27.6,AZ
Sierra Vista city,3943,24720,37775,26.3,AZ
Bullhead City city*,317,25464,33769,24.5,AZ
Oro Valley town*,303,26182,29700,21.2,AZ
Chandler city,5821,121168,176581,20.8,AZ
Avondale city,1748,15959,35883,20.6,AZ
Gilbert town,2515,87597,109697,17.2,AZ
