CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Denver city,59921,287997,554636,67.4,CO
Colorado Springs city,22760,271734,360890,46.1,CO
Grand Junction city*,219,36051,41986,44.4,CO
Pueblo city,2199,52202,102121,42.5,CO
Greeley city*,564,51404,76930,41.0,CO
Arvada city*,628,87302,102153,39.5,CO
Englewood city*,439,25708,31727,38.4,CO
Fort Collins city,1103,101384,118652,37.0,CO
Littleton city*,429,35010,40340,34.9,CO
Lakewood city,1910,113755,144126,34.9,CO
Boulder city,1085,79721,94673,34.2,CO
Longmont city*,363,54599,71093,34.2,CO
Aurora city,36008,163599,276393,33.4,CO
Loveland city*,175,44853,50608,32.8,CO
Thornton city,1106,59635,82384,32.2,CO
Wheat Ridge city*,255,27016,32913,30.9,CO
Westminster city,1149,76637,100940,29.3,CO
Broomfield city*,329,32023,38272,26.4,CO
Northglenn city*,432,23031,31575,25.4,CO
