CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Hartford city,43775,21677,121578,66.0,CT
Stamford city,17421,71610,117083,63.4,CT
New Haven city,44598,43979,123626,58.8,CT
West Haven city,8257,36521,52360,57.7,CT
Norwalk city,12231,53324,82951,55.5,CT
Waterbury city,16335,62406,107271,49.5,CT
Bridgeport city,40974,43158,139529,47.9,CT
Meriden city,3321,40709,58244,42.0,CT
Norwich city,2306,29054,36117,37.6,CT
Danbury city,4743,50945,74848,37.0,CT
New London city,4393,14394,25671,36.9,CT
Shelton city*,393,35103,38101,33.3,CT
Bristol city,1453,53610,60062,30.7,CT
New Britain city,6965,42083,71538,30.1,CT
Middletown city,5111,33435,43167,29.4,CT
Torrington city*,694,32200,35202,28.9,CT
Naugatuck borough*,842,27541,30989,27.8,CT
Milford city (balance)*,928,46151,50594,24.8,CT
