CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Riviera Beach city,20066,7586,29884,83.2,FL
Pompano Beach city,19520,47549,78191,80.8,FL
Fort Lauderdale city,43441,87577,152397,80.5,FL
Miami city,72190,42897,362470,80.3,FL
Delray Beach city,15796,37074,60020,79.0,FL
St. Petersburg city,54884,170396,248232,76.7,FL
Hallandale city,5353,21456,34282,75.0,FL
Bradenton city,7381,35450,49504,74.4,FL
Orlando city,48547,94452,185951,71.8,FL
Fort Pierce city,15109,15516,37516,70.7,FL
Sarasota city,8250,36786,52715,69.4,FL
Deerfield Beach city,10122,46014,64583,68.7,FL
Lakeland city,16500,54555,78452,68.6,FL
Ocala city,10055,31982,45943,68.2,FL
Fort Myers city,15751,23700,48208,68.1,FL
Coral Gables city,1290,20168,42249,67.7,FL
Daytona Beach city,20813,38630,64112,67.6,FL
Plant City city,4751,19250,29915,67.5,FL
Tampa city,76711,154872,303447,65.4,FL
Pensacola city,17086,35824,56255,65.3,FL
West Palm Beach city,25958,37771,82103,63.6,FL
Boynton Beach city,13585,38897,60389,63.4,FL
Panama City city,7648,26317,36417,62.8,FL
Clearwater city,10361,85015,108787,62.6,FL
Lauderhill city,33355,17014,57585,61.3,FL
Gainesville city,21931,61156,95447,60.7,FL
Boca Raton city,2725,62925,74764,59.5,FL
Melbourne city,6493,57600,71382,58.8,FL
Winter Haven city,6050,18299,26487,58.3,FL
Jacksonville city,211252,457478,735617,55.8,FL
Homestead city,6886,7295,31909,54.8,FL
North Miami Beach city,15273,10104,40786,54.4,FL
Titusville city,5073,33058,40670,53.9,FL
Ormond Beach city*,990,33564,36301,53.4,FL
Hialeah city,2127,18267,226419,53.1,FL
Lake Worth city,6320,16884,35133,51.8,FL
Hollywood city,15972,85808,139357,51.3,FL
Key West city,2237,18195,25478,50.2,FL
Tallahassee city,51025,87047,150624,48.7,FL
Sanford city,12167,20911,38291,48.6,FL
North Miami city,31758,10860,59880,47.6,FL
Palm Beach Gardens city*,736,31252,35058,46.7,FL
Jupiter town*,461,35152,39328,44.6,FL
Sunrise city,17176,48863,85779,43.7,FL
Dunedin city*,692,32996,35691,43.0,FL
Lauderdale Lakes city,21243,6726,31705,42.5,FL
Plantation city,11101,56411,82934,41.4,FL
Oakland Park city,6858,16703,30966,41.3,FL
Bonita Springs city*,101,26669,32797,40.9,FL
Tamarac city,5623,39688,55588,38.0,FL
Miami Beach city,2491,35959,87933,35.9,FL
Davie town,3207,54676,75720,35.4,FL
Kissimmee city,4074,20887,47814,35.2,FL
Apopka city,4033,16780,26642,34.5,FL
Margate city,6069,36534,53909,32.4,FL
Pinellas Park city*,892,38962,45658,32.2,FL
Largo city,1806,62359,69371,31.2,FL
Pembroke Pines city,17471,72464,137427,30.7,FL
Miramar city,30561,15716,72739,29.9,FL
Winter Springs city,1363,25851,31666,29.7,FL
Coral Springs city,10412,82149,117549,29.6,FL
Cape Coral city,1831,89535,102286,29.3,FL
Greenacres city,1673,19066,27569,28.1,FL
Altamonte Springs city,3795,28623,41200,25.6,FL
Port Orange city*,695,42941,45823,24.8,FL
Coconut Creek city,2584,33909,43566,24.4,FL
Cooper City city*,846,21147,27939,23.7,FL
Port St. Lucie city,6035,73489,88769,20.0,FL
Oviedo city,2242,19734,26316,19.8,FL
Palm Bay city,8634,60549,79413,19.6,FL
North Lauderdale city,11050,11831,32264,19.3,FL
Aventura city*,395,18954,25267,19.2,FL
Wellington village,1957,30473,38216,18.1,FL
Palm Coast city,3261,26217,32732,17.6,FL
Weston city,1699,30465,49286,13.0,FL
Deltona city,4478,50540,69543,11.6,FL
