CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Atlanta city,254062,130222,416474,83.5,GA
Albany city,49643,25193,76939,66.9,GA
Columbus city (balance),80698,90200,185781,65.3,GA
Valdosta city,21091,20440,43724,61.5,GA
Savannah city,74691,49903,131510,60.3,GA
Gainesville city,3952,12218,25578,59.0,GA
LaGrange city,12289,12588,25998,56.8,GA
Macon city,60503,34050,97255,56.3,GA
Athens-Clarke County (balance),27284,61950,100266,53.5,GA
Augusta-Richmond County (balan,97517,85340,195182,52.5,GA
Marietta city,17090,28544,58748,51.3,GA
Dalton city,2042,13867,27912,50.1,GA
Rome city,9638,20704,34980,48.9,GA
Roswell city,6620,59870,79334,41.0,GA
Peachtree City city,1894,26873,31580,38.5,GA
Warner Robins city,15504,29538,48804,37.8,GA
East Point city,30728,5135,39595,37.8,GA
Smyrna city,10963,21936,40999,35.8,GA
Alpharetta city,2224,28143,34854,28.4,GA
Hinesville city,13792,11796,30392,16.6,GA
