CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Waterloo city,9468,55419,68747,62.3,IA
Des Moines city,15813,158095,198682,55.3,IA
Sioux City city,1966,68521,85013,50.7,IA
Dubuque city*,674,55035,57686,49.2,IA
Davenport city,8917,79972,98359,47.4,IA
Fort Dodge city*,931,22904,25136,47.3,IA
Cedar Rapids city,4425,109759,120758,45.9,IA
Marshalltown city*,331,21754,26009,45.2,IA
Council Bluffs city*,604,53903,58268,42.4,IA
Burlington city,1332,24328,26839,41.0,IA
Clinton city*,878,25791,27772,39.7,IA
Mason City city*,332,27237,29172,38.6,IA
Cedar Falls city*,558,34207,36145,35.0,IA
Iowa City city,2272,53405,62220,33.4,IA
West Des Moines city*,856,42283,46403,32.3,IA
Urbandale city*,440,27412,29072,31.2,IA
Bettendorf city*,483,29228,31275,30.4,IA
Ankeny city*,199,26137,27117,29.2,IA
Ames city,1323,43762,50731,28.7,IA
Marion city*,154,25357,26294,27.0,IA
