CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Pekin city*,857,32088,33857,92.4,IL
Chicago city,1053739,907166,2896016,87.3,IL
Park Ridge city*,85,35307,37775,74.4,IL
Elmwood Park village*,129,21490,25405,71.1,IL
Joliet city,19125,64811,106221,70.1,IL
Mount Prospect village*,979,41548,56265,68.2,IL
Evanston city,16449,46444,74239,68.1,IL
Glenview village*,646,34778,41847,68.1,IL
Oak Forest city,1006,24297,28051,66.5,IL
Northbrook village*,190,29346,33435,64.9,IL
Lansing village,2983,23238,28332,64.3,IL
Addison village*,874,21540,35914,62.2,IL
Rock Island city,6741,29485,39684,61.5,IL
Chicago Heights city,12305,12062,32776,61.0,IL
Burbank city*,67,23515,27902,60.4,IL
Berwyn city*,588,30476,54016,60.3,IL
Rockford city,25822,102678,150115,60.0,IL
Oak Lawn village*,666,49689,55245,59.7,IL
St. Charles city*,450,25212,27896,59.6,IL
Granite City city*,616,29142,31301,58.9,IL
Kankakee city,11216,13130,27491,58.6,IL
Elmhurst city*,388,38706,42762,58.5,IL
Springfield city,17007,89510,111454,58.4,IL
North Chicago city,12853,14028,35918,57.8,IL
Alton city,7504,21825,30496,57.6,IL
Arlington Heights village*,706,66612,76031,56.6,IL
Maywood village,22208,1488,26987,56.6,IL
Downers Grove village*,911,42777,48724,56.4,IL
Galesburg city,3402,27688,33706,56.2,IL
Lombard village,1125,35591,42322,55.2,IL
Cicero town*,674,16787,85616,55.0,IL
Tinley Park village*,923,43787,48401,54.9,IL
Decatur city,15846,62993,81860,54.5,IL
Peoria city,27783,77138,112936,54.3,IL
Niles village*,123,24133,30068,54.2,IL
Hoffman Estates village,2141,33789,49495,53.6,IL
Danville city,8193,23140,33904,51.9,IL
Champaign city,10471,48168,67518,51.9,IL
Calumet City city,20530,13421,39071,50.6,IL
Freeport city,3623,21399,26443,50.1,IL
Harvey city,23732,1903,30000,50.0,IL
Palatine village,1343,49029,65479,49.9,IL
Elk Grove Village village*,481,28599,34727,49.6,IL
Carol Stream village,1689,29524,40438,49.2,IL
Woodridge village,2440,21671,30934,49.0,IL
Urbana city,5181,23811,36395,48.7,IL
Glen Ellyn village*,570,23476,26999,48.7,IL
Quincy city,1862,37332,40366,48.6,IL
East St. Louis city,30702,363,31542,47.5,IL
Des Plaines city*,558,44635,58720,46.9,IL
DeKalb city,3508,29479,39018,46.8,IL
Schaumburg village,2479,56953,75386,45.4,IL
Carpentersville village,1234,15862,30586,44.9,IL
Crystal Lake city*,193,34067,38000,44.7,IL
Wheaton city,1525,48494,55416,43.6,IL
Skokie village,2798,41549,63348,43.2,IL
Aurora city,15389,74457,142990,42.6,IL
Elgin city,6100,50831,94487,41.9,IL
Waukegan city,16354,27186,87901,41.6,IL
Orland Park village*,367,46478,51077,41.4,IL
Highland Park city*,488,27112,31365,39.7,IL
Moline city,1325,36030,43768,39.3,IL
Wilmette village*,147,24343,27651,39.0,IL
Buffalo Grove village*,317,37121,42909,38.6,IL
Oak Park village,11685,34767,52524,38.4,IL
Belleville city,6377,33341,41410,36.9,IL
Wheeling village*,799,22892,34496,36.0,IL
Naperville city,3828,106386,128358,35.6,IL
Hanover Park village,2243,20474,38278,35.0,IL
Normal town,3460,39121,45386,33.8,IL
Bloomington city,5527,54011,64808,32.9,IL
Glendale Heights village,1494,17409,31765,31.2,IL
Gurnee village,1442,22705,28834,30.7,IL
Bartlett village*,706,30673,36706,27.7,IL
Round Lake Beach village*,740,16057,25859,24.8,IL
Mundelein village*,464,20566,30935,24.6,IL
Bolingbrook village,11324,32618,56321,24.4,IL
Streamwood village,1352,25130,36407,22.6,IL
Dolton village,20973,3390,25614,18.8,IL
