CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Wichita city,38732,246924,344284,59.4,KS
Kansas City city,43865,71870,146866,57.8,KS
Topeka city,13941,91869,122377,49.5,KS
Hutchinson city,1695,34817,40787,47.9,KS
Dodge City city*,430,12974,25176,41.2,KS
Garden City city*,351,14169,28451,40.9,KS
Shawnee city,1409,42344,47996,37.9,KS
Lenexa city,1285,35217,40238,37.6,KS
Leawood city*,401,26039,27656,35.5,KS
Emporia city*,763,19032,26760,35.4,KS
Leavenworth city,5656,26230,35420,34.6,KS
Salina city,1592,39031,45679,32.1,KS
Overland Park city,3729,131782,149080,30.9,KS
Olathe city,3390,80157,92962,28.5,KS
Lawrence city,3989,65774,80098,26.9,KS
Manhattan city,2144,38278,44831,26.6,KS
