CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Louisville city,84011,158651,256231,73.8,KY
Hopkinsville city,9240,19636,30089,60.8,KY
Covington city,4377,37411,43370,56.6,KY
Paducah city,6326,18976,26307,50.3,KY
Owensboro city,3714,48697,54067,50.3,KY
Lexington-Fayette,34876,206174,260512,50.2,KY
Frankfort city,4057,22505,27741,46.3,KY
Bowling Green city,6249,39010,49296,39.4,KY
Henderson city,2859,23723,27373,28.6,KY
Richmond city,2237,23767,27152,28.3,KY
Jeffersontown city,2281,22761,26633,24.3,KY
