CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Monroe city,32298,19319,53107,76.2,LA
Baton Rouge city,113478,101867,227818,75.1,LA
Shreveport city,101218,91857,200145,70.7,LA
New Orleans city,323392,128871,484674,70.6,LA
Lafayette city,31292,74020,110257,67.3,LA
Lake Charles city,33414,35540,71757,65.6,LA
Alexandria city,25291,19486,46342,64.2,LA
Houma city,8426,21569,32393,62.5,LA
Kenner city,15725,42148,70517,59.4,LA
New Iberia city,12455,18368,32623,56.9,LA
Slidell city,3466,20871,25695,54.8,LA
Bossier City city,12759,39177,56461,45.3,LA
