CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Flint city,66231,50020,124943,76.8,MI
Saginaw city,26440,26372,61799,76.4,MI
Taylor city,5721,55338,65868,69.9,MI
Dearborn Heights city,1224,52032,58264,64.2,MI
Detroit city,771966,99921,951270,63.3,MI
Southgate city*,624,27382,30136,61.7,MI
Allen Park city*,211,27174,29376,61.5,MI
Madison Heights city*,559,27516,31101,59.7,MI
Grand Rapids city,39401,123537,197800,58.6,MI
Oak Park city,13622,13813,29793,58.0,MI
Roseville city,1247,44477,48129,56.9,MI
Lincoln Park city*,810,35701,40008,56.9,MI
Warren city,3676,124936,138247,56.8,MI
St. Clair Shores city*,434,60544,63096,54.8,MI
Jackson city,7069,26204,36316,54.8,MI
Battle Creek city,9440,38761,53364,53.3,MI
Wyandotte city*,144,26421,28006,52.8,MI
Dearborn city,1225,82893,97775,52.6,MI
Inkster city,20267,7379,30115,51.6,MI
Kalamazoo city,15757,53589,77145,51.3,MI
Burton city,1073,27538,30308,49.3,MI
Pontiac city,31416,22875,66337,48.8,MI
Westland city,5823,74116,86602,48.4,MI
Eastpointe city,1594,31094,34077,47.2,MI
Bay City city*,972,32333,36817,47.0,MI
Muskegon city,12582,23231,40105,46.7,MI
Livonia city*,945,94651,100545,45.2,MI
Port Huron city,2451,27326,32338,43.6,MI
Royal Oak city*,910,56421,60062,43.1,MI
Ann Arbor city,9906,82975,114024,38.7,MI
Lansing city,25498,73105,119128,38.1,MI
East Lansing city,3410,36919,46525,38.1,MI
Holland city*,819,24543,35048,37.9,MI
Sterling Heights city,1602,111743,124471,36.7,MI
Southfield city,42259,30025,78296,36.5,MI
Portage city,1649,40220,44897,34.9,MI
Wyoming city,3205,55801,69368,34.8,MI
Rochester Hills city,1650,59917,68825,32.6,MI
Kentwood city,4040,35740,45255,32.1,MI
Midland city*,749,38416,41685,31.9,MI
Garden City city*,330,28438,30047,31.2,MI
Mount Pleasant city*,946,22822,25946,26.6,MI
Farmington Hills city,5681,67250,82111,26.5,MI
Novi city*,899,40777,47386,26.2,MI
Troy city,1678,65809,80959,22.5,MI
