CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
St. Louis city,177446,149329,348189,72.4,MO
Kirkwood city,1920,24603,27324,71.3,MO
Kansas City city,136921,254471,441545,70.7,MO
University City city,16895,18112,37428,66.5,MO
Jefferson City city,5807,31997,39636,56.1,MO
St. Joseph city,3685,66741,73990,47.5,MO
Cape Girardeau city,3276,30650,35349,46.8,MO
Columbia city,9106,67984,84531,43.6,MO
Hazelwood city,4188,20778,26206,43.5,MO
Florissant city,5775,42807,50497,42.6,MO
Springfield city,4863,137140,151580,41.4,MO
Independence city,2874,102040,113288,39.5,MO
Joplin city,1190,41058,45504,36.8,MO
Maryland Heights city,1419,21593,25756,36.4,MO
St. Charles city,2079,55582,60321,35.6,MO
Gladstone city*,533,24018,26365,33.0,MO
Raytown city,3544,25233,30388,32.7,MO
Liberty city*,661,24236,26232,28.6,MO
Lee's Summit city,2437,64991,70700,28.1,MO
Ballwin city*,461,28844,31283,27.2,MO
Chesterfield city*,867,42190,46802,22.4,MO
Wildwood city*,524,30830,32884,22.1,MO
O'Fallon city,1029,43576,46169,21.7,MO
St. Peters city,1424,47929,51381,21.0,MO
Blue Springs city,1395,44045,48080,20.8,MO
