CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Wilmington city,19423,52639,75838,65.6,NC
Wilson city,21007,19479,44405,65.1,NC
Winston-Salem city,67648,97420,185776,62.6,NC
Greensboro city,83041,120112,223891,62.3,NC
Rocky Mount city,31175,22548,55893,61.8,NC
Charlotte city,175661,297845,540828,61.1,NC
Hickory city,5181,27245,37222,60.7,NC
High Point city,27064,50176,85839,59.8,NC
Greenville city,20531,36660,60476,58.1,NC
Durham city,81370,79277,187035,57.8,NC
Asheville city,12054,52340,68889,56.4,NC
Raleigh city,75931,166386,276093,56.2,NC
Burlington city,11166,27828,44917,55.8,NC
Gastonia city,16520,44615,66277,51.4,NC
Goldsboro city,20295,16346,39043,51.1,NC
Salisbury city,9874,14650,26462,50.1,NC
Monroe city,7155,12998,26228,49.8,NC
Concord city,8304,41985,55977,48.6,NC
Fayetteville city,50656,56419,121015,46.1,NC
Kannapolis city,6044,27748,36910,44.8,NC
Cary town,5744,75299,94536,36.1,NC
Chapel Hill town,5517,37073,48715,33.8,NC
Jacksonville city,15576,40583,66715,27.9,NC
