CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
New York city,1962154,2801267,8008278,85.3,NY
Buffalo city,107066,151450,292648,73.9,NY
Long Beach city,2071,27328,35462,73.5,NY
Mount Vernon city,39889,16677,68381,69.4,NY
Yonkers city,30164,99346,196086,68.2,NY
Glen Cove city,1614,18144,26622,63.9,NY
Spring Valley village,10936,7866,25464,60.5,NY
Syracuse city,36246,91928,147306,59.5,NY
Niagara Falls city,10291,41843,55593,59.3,NY
Rochester city,82267,97395,219773,58.0,NY
Auburn city,2113,24971,28574,57.6,NY
Albany city,26042,58459,95658,57.0,NY
Port Chester village,1795,11934,27867,57.0,NY
New Rochelle city,13389,40272,72182,56.3,NY
White Plains city,8138,28743,53077,54.8,NY
Freeport village,13610,13835,43783,54.2,NY
Valley Stream village,2603,25981,36368,54.0,NY
Rome city,2495,29872,34950,53.2,NY
Hempstead village,28729,7460,56554,50.9,NY
Utica city,7548,46389,60651,48.5,NY
Lindenhurst village*,220,24976,27819,47.8,NY
Jamestown city*,989,28235,31730,47.2,NY
Schenectady city,8651,46069,61821,45.4,NY
Poughkeepsie city,10354,14706,29871,44.3,NY
Newburgh city,8961,7969,28259,44.3,NY
Elmira city,3935,25002,30940,43.9,NY
Saratoga Springs city*,777,24252,26186,43.6,NY
Troy city,5389,38711,49170,43.3,NY
North Tonawanda city*,96,32294,33262,41.2,NY
Watertown city,1260,23438,26705,37.5,NY
Binghamton city,3765,38717,47380,35.3,NY
Ithaca city,1854,20893,29287,34.1,NY
Middletown city,3350,14423,25388,25.8,NY
