CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Garfield Heights city,5143,24577,30734,80.7,OH
Cleveland city,241512,185641,478403,79.4,OH
Dayton city,71291,87487,166179,78.3,OH
Hamilton city,4562,53386,60690,68.7,OH
Toledo city,73134,212658,313619,67.0,OH
Barberton city,1482,25662,27899,65.9,OH
Youngstown city,35440,40100,82026,64.2,OH
Cincinnati city,141534,173781,331285,63.0,OH
Akron city,61510,144719,217074,61.5,OH
Columbus city,172750,475897,711470,61.0,OH
Springfield city,11832,50663,65358,60.6,OH
Middletown city,5447,44658,51605,59.6,OH
Massillon city,2934,27422,31325,56.6,OH
Euclid city,16038,34678,52717,56.2,OH
East Cleveland city,25291,1219,27217,55.6,OH
Parma city*,901,81102,85655,54.4,OH
Warren city,11730,33420,46832,53.4,OH
Shaker Heights city,9985,17434,29405,53.1,OH
Mansfield city,9655,37547,49346,52.7,OH
Medina city*,687,23607,25139,51.0,OH
Cleveland Heights city,20752,25840,49958,50.3,OH
Canton city,16875,59653,80806,50.0,OH
Cuyahoga Falls city*,918,47102,49374,48.6,OH
Marion city,2465,31658,35318,48.4,OH
Lorain city,10286,41935,68652,46.4,OH
Maple Heights city,11547,13382,26156,46.3,OH
Elyria city,7831,44747,55953,43.6,OH
Kettering city*,942,54338,57502,41.5,OH
Zanesville city,2731,21740,25586,39.7,OH
Lima city,10533,27408,40081,37.9,OH
Sandusky city,5833,20317,27844,37.2,OH
Lancaster city*,214,34220,35335,37.1,OH
Lakewood city,1088,51921,56646,36.4,OH
Fairborn city,1997,27646,32052,35.8,OH
Westlake city*,299,29199,31719,35.7,OH
Upper Arlington city*,198,31647,33686,35.3,OH
North Olmsted city*,341,31666,34113,34.1,OH
Trotwood city,15953,10501,27420,33.0,OH
Delaware city*,956,23269,25243,32.7,OH
Newark city,1422,43312,46279,32.0,OH
Brunswick city*,244,32107,33388,30.2,OH
Grove City city*,405,25836,27075,30.0,OH
Fairfield city,2526,37450,42097,29.9,OH
Bowling Green city*,810,26839,29636,28.5,OH
North Royalton city*,200,27356,28648,27.4,OH
Findlay city*,521,35763,38967,26.7,OH
Reynoldsburg city,3325,26946,32069,26.7,OH
Kent city,2533,23807,27906,26.0,OH
Mentor city*,324,48650,50278,25.7,OH
Westerville city,1115,32803,35318,25.5,OH
Stow city*,492,30415,32139,25.4,OH
Strongsville city*,533,40929,43858,23.8,OH
Beavercreek city*,537,35190,37984,21.1,OH
Gahanna city,2636,27966,32636,19.5,OH
Dublin city*,527,27901,31392,18.8,OH
Huber Heights city,3703,32075,38212,18.6,OH
