CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Muskogee city,6813,22983,38310,62.5,OK
Tulsa city,60297,263782,393049,60.3,OK
Oklahoma City city,76994,327225,506132,59.0,OK
Midwest City city,10492,36575,54088,50.0,OK
Bartlesville city,1103,28003,34748,46.6,OK
Stillwater city,1666,31745,39065,37.6,OK
Ponca City city*,767,21374,25919,37.0,OK
Norman city,4022,76852,95694,36.1,OK
Shawnee city,1160,21742,28692,35.4,OK
Edmond city,2721,58104,68315,34.4,OK
Enid city,1815,40109,47045,33.3,OK
Broken Arrow city,2728,62485,74859,25.0,OK
Lawton city,20937,53605,92757,24.4,OK
Moore city,1181,33765,41138,23.6,OK
