CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Portland city,34395,399351,529121,57.0,OR
Salem city,1621,106331,136924,37.8,OR
Hillsboro city*,745,49339,70186,33.9,OR
Medford city*,291,54299,63154,33.3,OR
Albany city*,192,36361,40852,29.9,OR
Corvallis city*,549,41093,49322,29.8,OR
Gresham city,1618,71194,90205,28.5,OR
Springfield city*,356,45827,52864,28.3,OR
Bend city*,139,47660,52029,28.0,OR
Beaverton city,1243,56035,76129,27.3,OR
Oregon City city*,143,23212,25754,26.6,OR
Eugene city,1644,118563,137893,25.5,OR
Lake Oswego city*,216,31642,35278,24.8,OR
McMinnville city*,103,21294,26499,23.7,OR
Tigard city*,443,33317,41223,23.6,OR
Keizer city*,216,26324,32203,16.5,OR
