CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Philadelphia city,646123,644395,1517550,80.6,PA
Pittsburgh city,90183,223982,334563,71.3,PA
Scranton city,2200,70512,76415,57.7,PA
New Castle city,2820,22729,26309,53.1,PA
Erie city,14420,81605,103717,51.6,PA
Chester city,27500,6582,36854,47.8,PA
Harrisburg city,26292,13988,48950,45.7,PA
Altoona city,1202,47342,49523,45.3,PA
Bethel Park borough*,340,32463,33556,44.0,PA
Williamsport city,3873,25666,30706,42.7,PA
Lancaster city,7067,29196,56348,42.6,PA
Bethlehem city,2244,53408,71329,42.2,PA
Municipality of Monroeville bo,2425,24971,29349,42.1,PA
Norristown borough,10738,15440,31282,41.5,PA
Wilkes-Barre city,2129,39433,43123,39.5,PA
Reading city,8799,39038,81207,39.5,PA
Allentown city,7284,68621,106632,38.5,PA
Plum borough*,740,25617,26940,38.1,PA
York city,9798,22142,40862,36.3,PA
State College borough,1371,31862,38420,31.8,PA
Easton city,3221,19302,26263,30.3,PA
