CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Florence city,13481,15944,30248,72.9,SC
Hilton Head Island town,2758,26752,33862,70.5,SC
Greenville city,18866,33917,56002,69.5,SC
Aiken city,7623,16693,25337,67.9,SC
Spartanburg city,19559,18433,39673,64.0,SC
Columbia city,53052,55993,116278,63.8,SC
Charleston city,32688,60187,96650,63.8,SC
Sumter city,18256,19300,39643,61.7,SC
Anderson city,8653,15935,25514,61.0,SC
Rock Hill city,18484,28648,49765,56.6,SC
Mount Pleasant town,3445,42515,47609,46.8,SC
North Charleston city,39096,34443,79641,45.9,SC
Summerville town,5355,21131,27752,41.2,SC
Goose Creek city,4099,22386,29208,18.0,SC
