CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Memphis city,397732,216174,650100,68.6,TN
Chattanooga city,55874,91582,155554,66.9,TN
Jackson city,24957,32317,59643,62.1,TN
Knoxville city,28015,137336,173890,59.6,TN
Collierville town,2332,28337,31872,58.3,TN
Nashville-Davidson (balance),145483,349104,545524,57.6,TN
Franklin city,4316,34377,41842,54.7,TN
Kingsport city,1885,41613,44905,49.5,TN
Columbia city,6920,24049,33055,43.0,TN
Oak Ridge city,2229,23517,27387,41.9,TN
Johnson City city,3522,49354,55469,41.8,TN
Cleveland city,2588,32611,37192,40.8,TN
Murfreesboro city,9506,53963,68816,37.5,TN
Bartlett city,1965,37178,40543,27.8,TN
Clarksville city,23692,67562,103455,27.1,TN
Hendersonville city,1663,37364,40620,25.5,TN
Smyrna town,1981,21756,25569,21.5,TN
Germantown city*,867,34389,37348,19.2,TN
