CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Houston city,487851,601851,1953631,75.5,TX
Dallas city,304824,410777,1188580,71.5,TX
Weslaco city*,32,3961,26935,67.8,TX
Tyler city,22155,46486,83650,65.4,TX
Port Arthur city,25118,18387,57755,64.0,TX
Midland city,7811,57603,94996,63.5,TX
Amarillo city,10067,118821,173627,63.0,TX
Fort Worth city,106988,244966,534694,62.5,TX
Beaumont city,51928,48595,113866,62.2,TX
Lubbock city,16907,122330,199564,61.4,TX
Longview city,16126,48028,73344,61.2,TX
Austin city,64259,347554,656562,60.9,TX
Pharr city*,33,4136,46660,59.6,TX
Texarkana city,12816,20220,34782,59.5,TX
Missouri City city,20149,20448,52913,58.4,TX
Bryan city,11520,33943,65660,57.5,TX
Waco city,25477,58096,113726,57.2,TX
Conroe city,4015,20060,36811,55.7,TX
Texas City city,11268,20804,41521,55.0,TX
Lancaster city,13654,8703,25894,55.0,TX
Lufkin city,8603,17567,32709,54.7,TX
Nacogdoches city,7442,18524,29914,54.6,TX
Socorro city*,30,729,27152,54.2,TX
Wichita Falls city,12705,71782,104197,54.0,TX
San Antonio city,74778,364357,1144646,53.5,TX
McKinney city,3876,38854,54369,53.2,TX
Deer Park city*,360,23048,28520,53.1,TX
Odessa city,5165,46179,90943,52.2,TX
Galveston city,14422,25277,57247,52.0,TX
San Juan city*,29,1166,26229,51.4,TX
Brownsville city*,276,10826,139722,51.2,TX
Corpus Christi city,12404,106901,277454,50.8,TX
Victoria city,4453,28917,60603,49.5,TX
Temple city,8818,34176,54514,49.3,TX
Cleburne city,1130,19220,26005,48.6,TX
Pasadena city,2068,66923,141674,48.0,TX
Big Spring city,1258,12210,25233,47.4,TX
San Angelo city,4013,52934,88439,45.0,TX
Mission city*,115,8033,45408,45.0,TX
Paris city,5729,18332,25898,44.5,TX
Harlingen city*,425,14410,57564,44.2,TX
Abilene city,9947,79712,115930,43.9,TX
Richardson city,5586,63850,91802,43.7,TX
Baytown city,8726,33328,66430,43.5,TX
Irving city,19254,92445,191615,42.4,TX
Kingsville city,1045,6666,25575,42.3,TX
La Porte city,1941,22529,31880,42.0,TX
Hurst city,1447,29320,36273,41.9,TX
Georgetown city*,932,21763,28339,41.2,TX
Huntsville city,9114,19384,35078,41.0,TX
Denton city,7255,55585,80537,40.6,TX
Laredo city*,276,8891,176576,39.8,TX
El Paso city,15768,103422,563662,39.5,TX
College Station city,3647,51362,67890,39.0,TX
Arlington city,45061,198591,332969,39.0,TX
Haltom City city,1054,26306,39018,38.7,TX
Duncanville city,8837,20388,36081,37.7,TX
Euless city,2943,31468,46005,37.3,TX
Edinburg city*,196,4772,48465,36.6,TX
New Braunfels city*,468,22793,36494,36.2,TX
Farmers Branch city*,639,15360,27508,35.0,TX
Friendswood city*,774,24548,29037,34.9,TX
Sherman city,3884,25485,35082,34.7,TX
Cedar Hill city,10727,16317,32093,33.6,TX
Grand Prairie city,16948,60118,127427,33.2,TX
McAllen city*,487,17924,106414,33.2,TX
Sugar Land city,3242,38526,63328,32.7,TX
DeSoto city,17067,16818,37646,32.3,TX
Mesquite city,16422,81388,124523,32.2,TX
Mansfield city,1214,22513,28031,32.2,TX
Coppell city,1161,28285,35958,31.6,TX
Garland city,25326,114985,215768,31.2,TX
Lake Jackson city*,998,20476,26386,29.9,TX
Grapevine city*,952,34425,42059,29.5,TX
Del Rio city*,339,5648,33867,29.4,TX
San Marcos city,1860,19165,34733,28.4,TX
Bedford city,1698,39338,47152,28.3,TX
Plano city,10989,161543,222030,28.2,TX
Keller city*,384,24809,27345,26.8,TX
Carrollton city,6713,67078,109576,26.7,TX
Round Rock city,4560,40113,61136,26.7,TX
Pearland city,1968,27629,37640,26.5,TX
North Richland Hills city,1472,46255,55635,25.0,TX
Frisco city,1229,27433,33714,23.8,TX
Allen city,1889,36239,43554,22.4,TX
Cedar Park city*,822,20584,26049,21.0,TX
Lewisville city,5628,53706,77737,20.8,TX
League City city,2297,34807,45444,20.4,TX
Rowlett city,3959,34417,44503,19.2,TX
Killeen city,28267,34570,86911,16.9,TX
Flower Mound town,1461,44055,50702,13.3,TX
Copperas Cove city,5875,17946,29592,12.4,TX
The Colony city,1358,20552,26531,8.0,TX
