CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Draper city*,363,22429,25220,66.9,UT
Bountiful city*,96,38846,41301,51.6,UT
St. George city*,110,44215,49663,50.2,UT
Salt Lake City city,3108,128377,181743,44.7,UT
South Jordan city*,80,27606,29437,44.0,UT
Clearfield city*,903,20515,25974,41.9,UT
Ogden city,1630,54216,77226,40.5,UT
Taylorsville city*,463,45902,57439,39.4,UT
Orem city*,267,73076,84324,39.4,UT
Sandy city*,404,80523,88418,38.8,UT
Logan city*,253,36458,42670,38.7,UT
Murray city*,303,29805,34024,37.4,UT
Midvale city*,215,19847,27029,37.2,UT
Provo city*,432,88311,105166,36.9,UT
Riverton city*,54,23695,25011,35.4,UT
West Valley City city,1090,76545,108896,30.8,UT
Layton city*,907,50820,58474,30.4,UT
West Jordan city*,396,57688,68336,29.6,UT
Roy city*,375,28770,32885,27.1,UT
