CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Richmond city,112455,74506,197790,68.3,VA
Roanoke city,25220,65256,94911,68.3,VA
Portsmouth city,50569,45403,100565,62.0,VA
Norfolk city,102268,110221,234403,57.5,VA
Chesapeake city,56442,131200,199184,52.6,VA
Charlottesville city,9916,30825,45049,52.4,VA
Suffolk city,27524,33940,63677,52.0,VA
Lynchburg city,19288,43108,65269,51.2,VA
Newport News city,69538,93624,180150,50.3,VA
Hampton city,64795,70963,146437,47.4,VA
Danville city,21267,25813,48411,46.2,VA
Alexandria city,28463,68889,128283,46.0,VA
Petersburg city,26511,6131,33740,42.6,VA
Virginia Beach city,79092,295402,425257,41.4,VA
Leesburg town,2573,22761,28311,38.0,VA
Manassas city,4430,23304,35135,29.2,VA
Harrisonburg city,2266,32416,40468,25.0,VA
Blacksburg town,1700,32869,39573,17.5,VA
