CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Walla Walla city*,727,22458,29686,68.4,WA
Seattle city,46545,382532,563374,64.2,WA
Wenatchee city*,73,20815,27856,49.9,WA
Longview city*,227,30229,34660,44.5,WA
Edmonds city*,523,34012,39515,43.7,WA
Burien city,1587,22799,31881,43.2,WA
Pasco city*,940,11865,32066,42.7,WA
Olympia city*,772,35343,42514,42.6,WA
Des Moines city,2069,20986,29267,41.9,WA
Yakima city,1308,42928,71845,41.7,WA
Tacoma city,21187,128696,193556,40.0,WA
SeaTac city,2266,14666,25496,39.2,WA
Mount Vernon city*,185,17950,26232,39.1,WA
Bellingham city*,622,57684,67171,36.7,WA
Kennewick city*,579,42720,54693,36.5,WA
Renton city,4142,32759,50052,36.3,WA
Spokane city,3898,171918,195629,36.3,WA
Shoreline city,1435,39878,53025,35.7,WA
Everett city,2966,71276,91488,34.7,WA
Sammamish city*,273,29361,34104,34.5,WA
Puyallup city*,473,28337,33011,34.2,WA
Bellevue city,2100,78698,109569,33.5,WA
Kirkland city*,688,37438,45054,33.4,WA
Richland city*,505,33746,38708,32.2,WA
Bremerton city,2723,26950,37259,32.2,WA
Kent city,6444,53964,79524,31.8,WA
Marysville city*,246,21762,25315,30.8,WA
University Place city,2555,22207,29933,30.2,WA
Bothell city*,341,25581,30150,30.1,WA
Federal Way city,6439,55050,83259,29.8,WA
Lakewood city,6890,35829,58211,29.2,WA
Vancouver city,3482,117958,143560,27.8,WA
Redmond city*,659,34593,45256,26.8,WA
Auburn city*,956,32220,40314,25.2,WA
Lynnwood city,1070,24009,33847,23.7,WA
Lacey city,1449,23560,31226,22.4,WA
