CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Franklin city,1489,26287,29494,83.0,WI
Milwaukee city,220432,270989,596974,71.4,WI
Oshkosh city,1366,57749,62916,59.1,WI
Fond du Lac city*,767,38906,42203,56.5,WI
Racine city,16349,51962,81855,55.5,WI
Kenosha city,6810,71686,90352,52.8,WI
Wausau city*,205,32802,38426,49.3,WI
Manitowoc city*,191,31253,34053,48.4,WI
Superior city*,185,25677,27368,47.1,WI
West Allis city*,778,56432,61254,44.0,WI
Madison city,11987,170509,208054,43.3,WI
Beloit city,5428,25732,35775,40.9,WI
Wauwatosa city*,955,43935,47271,40.3,WI
Appleton city*,677,63249,70087,40.1,WI
Menomonee Falls village*,474,31225,32647,39.7,WI
La Crosse city*,775,47158,51818,38.7,WI
Green Bay city,1358,85134,102313,38.5,WI
Waukesha city*,797,56191,64825,38.1,WI
West Bend city*,89,27079,28152,38.1,WI
Eau Claire city*,420,57308,61704,35.3,WI
Janesville city*,726,55840,59498,32.5,WI
Sheboygan city*,410,43189,50792,31.8,WI
New Berlin city*,167,36265,38220,31.6,WI
Greenfield city*,342,32512,35476,30.8,WI
Oak Creek city*,503,25514,28456,30.7,WI
Brookfield city*,316,36051,38649,21.8,WI
